URL,Year,School,Conf,Class,Pos,G,college_rush_att,college_rush_yds,college_rush_avg,college_rush_TD,college_rec_rec,college_rec_yds,college_rec_avg,college_rec_TD,college_scrim_plays,college_scrim_yds,college_scrim_avg,college_scrim_TD
https://www.sports-reference.com/cfb/players/clinton-portis-1.html,,Miami (FL),Big East,,,29.0,440.0,2523.0,5.8999999999999995,20.0,21.0,272.0,14.0,3.0,461.0,2795.0,6.3,23.0
https://www.sports-reference.com/cfb/players/clyde-edwards-helaire-1.html,,LSU,SEC,,,38.0,370.0,2104.0,4.833333333333333,23.0,69.0,595.0,10.733333333333334,1.0,439.0,2699.0,6.033333333333334,24.0
https://www.sports-reference.com/cfb/players/corey-clement-1.html,,Wisconsin,Big Ten,,,39.0,576.0,3092.0,5.925,36.0,29.0,279.0,9.5,2.0,605.0,3371.0,6.05,38.0
https://www.sports-reference.com/cfb/players/corey-dauphine-1.html,,Tulane,American,,,26.0,198.0,1385.0,8.933333333333334,15.0,1.0,6.0,6.0,0.0,199.0,1391.0,8.933333333333334,15.0
https://www.sports-reference.com/cfb/players/correll-buckhalter-1.html,,Nebraska,Big 12,,,45.0,413.0,2522.0,6.125,27.0,24.0,200.0,8.2,1.0,437.0,2722.0,6.2,28.0
https://www.sports-reference.com/cfb/players/cory-boyd-1.html,,South Carolina,SEC,,,46.0,464.0,2267.0,4.75,23.0,117.0,1303.0,11.5,5.0,581.0,3570.0,6.15,28.0
https://www.sports-reference.com/cfb/players/cory-ross-1.html,,Nebraska,Big 12,,,48.0,597.0,2743.0,4.725,17.0,71.0,729.0,11.85,5.0,668.0,3472.0,5.25,22.0
https://www.sports-reference.com/cfb/players/curtis-keaton-1.html,,West Virginia,Big East,,,18.0,88.0,404.0,4.7,3.0,0.0,0.0,,0.0,88.0,404.0,4.7,3.0
https://www.sports-reference.com/cfb/players/cyrus-gray-1.html,,Texas A&M,Big 12,,,49.0,632.0,3298.0,5.15,30.0,103.0,776.0,7.3,6.0,735.0,4074.0,5.45,36.0
https://www.sports-reference.com/cfb/players/dahrran-diedrick-1.html,,Nebraska,Big 12,,,48.0,502.0,2745.0,5.625,26.0,7.0,35.0,5.2,0.0,509.0,2780.0,5.675,26.0
https://www.sports-reference.com/cfb/players/dalvin-cook-1.html,,Florida State,ACC,,,38.0,687.0,4464.0,6.466666666666666,46.0,79.0,935.0,11.4,2.0,766.0,5399.0,6.966666666666666,48.0
